id,startdate,submitdate,lastpage,treatment,willingnessjobrec1,willingnessjobrec2,paffect1,paffect2,paffect3,paffect4,paffect5,paffect6,naffect1,naffect2,naffect3,naffect4,naffect5,naffect6,turnover1,turnover2,turnover3,prosocialimpact1,prosocialimpact2,prosocialimpact3,manipulationcheck,taskvariety1,taskvariety2,taskvariety3,taskvariety4,taskvariety5,taskanalyz1,taskanalyz2,taskanalyz3,taskanalyz4,attention1,autonomy1,autonomy2,autonomy3,beneficiaries1,beneficiaries2,attention2,manager,gender,yearbirth,educator,sector,subsector,atwork,duration_treatment_general,duration_treatment_prosocial,duration_treatment_societal
23,2017-12-11T15:47:38Z,2017-12-11T15:51:30Z,11,2,4,1,6,6,6,6,5,6,1,1,1,1,1,1,6,1,1,7,6,7,2,2,3,3,3,3,3,4,3,3,3,6,6,6,5,6,1,3,0,1977,1,1,3,1,79.58,,
24,2017-12-11T15:48:13Z,2017-12-11T15:58:44Z,11,4,5,1,7,7,7,7,7,7,1,1,1,1,1,1,7,1,1,7,7,7,3,1,1,1,1,1,5,5,5,5,3,7,7,7,7,7,1,1,1,1968,1,1,1,0,,,278.65
25,2017-12-11T15:48:43Z,2017-12-11T16:02:26Z,11,4,4,2,6,6,6,6,6,6,2,1,1,1,1,1,7,2,2,7,7,7,3,2,2,2,2,2,2,4,4,3,3,6,6,6,7,7,1,2,1,1974,1,2,5,0,,,559.34
26,2017-12-11T15:49:51Z,2017-12-11T15:59:58Z,11,2,4,1,6,6,6,6,6,6,1,1,1,1,1,1,7,1,1,7,7,7,2,3,3,3,3,3,4,4,4,4,3,2,2,2,7,7,1,1,1,1953,0,3,1,0,241.83,,
27,2017-12-11T15:50:03Z,2017-12-11T15:53:37Z,11,2,4,4,5,6,5,5,6,4,3,,3,7,,5,5,5,5,5,5,5,1,4,4,4,3,3,4,3,4,4,3,5,5,5,5,4,1,4,0,1992,1,1,2,1,77.47,,
28,2017-12-11T15:51:13Z,2017-12-11T15:57:24Z,11,1,5,1,6,6,6,6,6,6,2,2,2,2,2,2,7,1,1,7,7,7,,2,2,2,3,2,4,4,4,4,3,3,6,5,6,6,1,0,1,1974,1,1,1,1,,,
29,2017-12-11T15:52:48Z,2017-12-11T15:57:51Z,11,1,4,2,6,6,6,6,6,6,1,1,1,1,1,1,2,5,6,6,6,6,,4,4,4,4,4,4,3,4,4,3,6,6,6,6,6,1,0,1,1969,0,1,1,0,,,
30,2017-12-11T15:53:20Z,2017-12-11T16:08:24Z,11,3,5,2,6,7,6,5,6,6,2,1,1,1,1,1,7,2,1,5,5,6,2,3,2,3,3,2,3,4,3,4,3,5,5,6,5,5,1,1,0,1964,0,3,0,1,,412.51,
31,2017-12-11T15:54:01Z,2017-12-11T16:01:24Z,11,4,5,1,7,6,6,6,5,6,1,1,1,1,1,1,6,1,2,7,6,6,3,2,2,2,2,3,4,3,4,4,3,5,5,5,7,7,1,1,0,1976,0,3,0,0,,,158.47
32,2017-12-11T15:56:50Z,2017-12-11T16:02:41Z,11,3,4,2,7,7,7,7,7,7,1,1,1,1,1,1,7,1,1,7,7,7,2,4,5,5,4,4,4,3,4,4,3,6,6,6,6,7,1,1,1,1985,1,1,1,1,,138.73,
33,2017-12-11T15:58:30Z,2017-12-11T16:00:33Z,11,1,4,2,6,6,7,6,7,6,1,1,1,2,1,1,7,4,7,7,6,6,,4,2,2,3,3,4,5,3,3,3,6,7,6,7,6,1,2,1,1987,1,2,4,1,,,
34,2017-12-11T15:58:44Z,2017-12-11T16:05:33Z,11,3,4,2,6,6,6,6,6,6,1,1,1,1,1,1,6,2,2,7,7,7,2,2,3,3,3,2,3,5,4,4,3,6,6,6,6,6,1,2,1,1960,1,1,2,1,,132.41,
35,2017-12-11T15:59:44Z,2017-12-11T16:13:12Z,11,2,3,3,6,6,6,6,6,6,2,2,2,1,2,1,6,2,2,6,6,5,1,4,3,3,3,3,3,3,3,3,3,5,5,5,2,2,1,0,0,1971,0,3,0,1,179.31,,
36,2017-12-11T16:04:35Z,2017-12-11T16:12:18Z,11,4,4,2,5,6,6,5,4,6,2,2,2,2,1,2,5,4,4,5,5,5,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,1,1,1,1975,0,3,3,1,,,258.54
37,2017-12-11T16:06:19Z,2017-12-11T16:18:59Z,11,3,4,4,3,4,3,4,2,3,5,6,6,6,5,2,6,2,2,7,6,7,2,3,3,3,3,3,4,4,5,4,3,6,6,6,7,7,1,0,1,1990,1,4,4,0,,296.81,
38,2017-12-11T16:07:22Z,2017-12-11T16:11:50Z,11,4,4,2,4,4,4,4,4,4,1,1,1,1,1,1,6,2,2,6,6,6,3,3,3,3,3,3,4,4,4,4,3,6,6,6,6,6,1,0,1,1982,1,1,3,1,,,97.7
39,2017-12-11T16:07:40Z,2017-12-11T16:11:34Z,11,4,4,1,5,5,5,5,3,5,3,1,1,6,1,2,6,2,2,5,5,5,3,4,4,3,4,3,4,3,3,3,3,6,6,6,7,7,1,0,1,1993,1,1,1,1,,,112.09
